projectname,mountpoint,rsync,numfiles,filesize(bytes)
wpceshi,code.git,git.code.sf.net::p/wpceshi/code.git,26,"14,605 bytes"
wpcitadel,code.git,git.code.sf.net::p/wpcitadel/code.git,16,"739 bytes"
wpclock,code,svn.code.sf.net::p/wpclock/code,50,"1,783,163 bytes"
wpcmdl,code.git,git.code.sf.net::p/wpcmdl/code.git,26,"14,821 bytes"
wpcn,code,svn.code.sf.net::p/wpcn/code,42,"27,850 bytes"
wpcobj,code,svn.code.sf.net::p/wpcobj/code,181,"867,822 bytes"
wpcollection,code.git,git.code.sf.net::p/wpcollection/code.git,26,"14,645 bytes"
wpcollection,code-0,svn.code.sf.net::p/wpcollection/code-0,48,"611,924 bytes"
wpcontent,code.git,git.code.sf.net::p/wpcontent/code.git,26,"14,824 bytes"
wpcontrol,code,svn.code.sf.net::p/wpcontrol/code,39,"27,315 bytes"
wpcontroller,code.git,git.code.sf.net::p/wpcontroller/code.git,58,"103,799 bytes"
wpcoverflow,code,svn.code.sf.net::p/wpcoverflow/code,44,"33,315 bytes"
wpcoverflow,code-0,hg.code.sf.net::p/wpcoverflow/code-0,7,"266 bytes"
wpcpanelinstaller,code.git,git.code.sf.net::p/wpcpanelinstaller/code.git,37,"16,573 bytes"
wpcpong,code,svn.code.sf.net::p/wpcpong/code,110,"38,642,415 bytes"
wpcrack,code.git,git.code.sf.net::p/wpcrack/code.git,26,"14,640 bytes"
wpcs,code.git,git.code.sf.net::p/wpcs/code.git,26,"14,637 bytes"
wpcustomposttyp,code,svn.code.sf.net::p/wpcustomposttyp/code,48,"34,972 bytes"
wpcx,code.git,git.code.sf.net::p/wpcx/code.git,26,"14,637 bytes"
wpcx,code-0,svn.code.sf.net::p/wpcx/code-0,44,"32,231 bytes"
wpcx,code-1,hg.code.sf.net::p/wpcx/code-1,7,"247 bytes"
wpd,code,svn.code.sf.net::p/wpd/code,40,"75,731 bytes"
wpdfa,code,svn.code.sf.net::p/wpdfa/code,52,"366,941 bytes"
wpduality,code,svn.code.sf.net::p/wpduality/code,40,"44,841 bytes"
wpdwardpicture,code,svn.code.sf.net::p/wpdwardpicture/code,53,"9,157,461 bytes"
wpeasy,code.git,git.code.sf.net::p/wpeasy/code.git,26,"14,821 bytes"
wpecarlg,code.git,git.code.sf.net::p/wpecarlg/code.git,26,"14,641 bytes"
wpedit,code,svn.code.sf.net::p/wpedit/code,204,"2,942,881 bytes"
wpembedarticles,github.git,git.code.sf.net::p/wpembedarticles/github.git,29,"493,584 bytes"
wpengineuserreview,code.git,git.code.sf.net::p/wpengineuserreview/code.git,26,"14,833 bytes"
wper,code.git,git.code.sf.net::p/wper/code.git,26,"14,637 bytes"
wperliang,git.git,git.code.sf.net::p/wperliang/git.git,26,"14,823 bytes"
wperliang,svn,svn.code.sf.net::p/wperliang/svn,40,"28,541 bytes"
wp-extended,wp-extended,rsync://wp-extended.cvs.sourceforge.net/cvsroot/wp-extended/*,206,"1,319,232 bytes"
wpf,code.git,git.code.sf.net::p/wpf/code.git,26,"14,636 bytes"
wpf4datagridiss,code,svn.code.sf.net::p/wpf4datagridiss/code,48,"100,995 bytes"
wpf790714,DesignPattern,svn.code.sf.net::p/wpf790714/DesignPattern,49,"34,558 bytes"
wpf790714,code-1,hg.code.sf.net::p/wpf790714/code-1,7,"264 bytes"
wpf790714,code-0,svn.code.sf.net::p/wpf790714/code-0,47,"34,233 bytes"
wpf790714,code.git,git.code.sf.net::p/wpf790714/code.git,26,"14,824 bytes"
wpfans,code.git,git.code.sf.net::p/wpfans/code.git,26,"14,639 bytes"
